,no,symbol,return
0,1,BTS,0.07766990291262132
1,2,DELTA,0.03436426116838498
2,3,OSP,0.018867924528301883
3,4,KTC,0.016304347826086918
4,5,GLOBAL,0.012658227848101111
5,6,BJC,0.008547008547008739
6,7,BBL,0.006734006734006703
7,8,BH,0.004830917874396157
8,9,KBANK,0.0033333333333334103
9,10,TISCO,0.0025974025974024872
10,11,TU,0.0
11,12,SAWAD,0.0
12,13,EGCO,-0.004184100418409997
13,14,SCB,-0.004347826086956497
14,15,BGRIM,-0.004739336492891044
15,16,AWC,-0.005586592178770999
16,17,PTTGC,-0.009803921568627416
17,18,ADVANC,-0.01041666666666663
18,19,GPSC,-0.011363636363636354
19,20,AOT,-0.012195121951219523
20,21,PTTEP,-0.015444015444015413
21,22,RATCH,-0.016000000000000014
22,23,WHA,-0.01724137931034475
23,24,TLI,-0.0185185185185186
24,25,IVL,-0.019607843137254943
25,26,MTC,-0.01990049751243783
26,27,OR,-0.02083333333333337
27,28,KTB,-0.024390243902439046
28,29,CPF,-0.02448979591836742
29,30,MINT,-0.027272727272727226
30,31,TTB,-0.027624309392265234
31,32,ITC,-0.028301886792452713
32,33,CPN,-0.028340080971659964
33,34,PTT,-0.03007518796992481
34,35,CPALL,-0.031620553359683834
35,36,LH,-0.03571428571428559
36,37,COM7,-0.036363636363636376
37,38,CBG,-0.037617554858934144
38,39,BDMS,-0.03809523809523807
39,40,BEM,-0.03947368421052633
40,41,BANPU,-0.04201680672268904
41,42,CRC,-0.042857142857142816
42,43,TRUE,-0.0431034482758621
43,44,TOP,-0.044303797468354444
44,45,HMPRO,-0.045454545454545525
45,46,SCC,-0.04922279792746109
46,47,INTUCH,-0.050000000000000044
47,48,GULF,-0.05836575875486383
48,49,SCGP,-0.06550218340611358
49,50,CCET,-0.07262569832402221
