,week,MarketBreadth
0,week1,-16
1,week2,-16
2,week3,-26
3,week4,0
4,week5,6
5,week6,-4
6,week7,-12
7,week8,12
8,week9,-24
9,week10,30
10,week11,4
11,week12,-20
12,week13,4
13,week14,-18
14,week15,-14
15,week16,-48
16,week17,2
17,week18,-2
18,week19,-16
19,week20,2
20,week21,-30
21,week22,-30
22,week23,-6
23,week24,-18
24,week25,10
25,week26,-28
26,week27,18
27,week28,0
28,week29,-24
29,week30,0
30,week31,-12
31,week32,12
32,week33,10
33,week34,24
34,week35,-12
35,week36,40
36,week37,-24
37,week38,6
38,week39,-4
39,week40,-6
40,week41,2
41,week42,20
42,week43,-28
43,week44,-8
44,week45,-20
45,week46,-26
46,week47,18
47,week48,-30
48,week49,10
49,week50,-18
50,week51,-42
51,week52,16
